node,STUSPS,well_depth (m),NaN values,well_pressure [bar]
fips31069,NE,64.31040628272251,,6.308850856335079
fips31071,NE,76.5410537444934,,7.508677372334803
fips31073,NE,79.85382148760331,,7.833659887933885
fips31077,NE,96.65197280187574,,9.481558531864012
fips31079,NE,32.78969278688525,,3.2166688623934427
fips31081,NE,57.62705920353983,,5.653214507867258
fips31083,NE,61.17501162561577,,6.001268640472907
fips31085,NE,111.92407453416148,,10.979751711801242
fips31087,NE,37.205194285714285,,3.649829559428572
fips31089,NE,66.70528113879004,,6.543788079715304
fips31093,NE,50.066678138718174,,4.911541125408253
fips31095,NE,61.728849438202246,,6.055600129887641
fips31097,NE,55.22954685314686,,5.418018546293706
fips31099,NE,53.976188304093576,,5.295064072631581
fips31101,NE,73.24097888198759,,7.184940028322983
fips31103,NE,64.17327302452317,,6.295398083705724
fips31105,NE,65.21026666666667,,6.397127160000001
fips31107,NE,65.20329411764706,,6.396443152941178
fips31111,NE,89.71855004677269,,8.801389759588401
fips31113,NE,89.74895658362989,,8.804372640854092
fips31115,NE,77.08604651162791,,7.562141162790699
fips31117,NE,107.64440625,,10.559916253125
fips31119,NE,67.0966581915846,,6.582182168594449
fips31121,NE,17.58292325230511,,1.7248847710511317
fips31123,NE,45.27914048140044,,4.441883681225384
fips31125,NE,35.126666666666665,,3.445926
fips31127,NE,27.294651851851853,,2.677605346666667
fips31129,NE,48.49793823529412,,4.757647740882354
fips31135,NE,125.50716166134188,,12.312252558977638
fips31137,NE,65.88701015965168,,6.463515696661831
fips31139,NE,63.615197593984966,,6.240650883969926
fips31141,NE,49.55229200387223,,4.861079845579866
fips31143,NE,58.51516753246754,,5.740337934935066
fips31145,NE,38.677453125,,3.7942581515625
fips31149,NE,80.23625210084033,,7.871176331092438
fips31151,NE,51.743290995260665,,5.076016846635072
fips31155,NE,46.16937366946779,,4.529215556974791
