node,sprinkler_percentage,drip_percentage,surface_percentage,well_pressure [bar],gw_percentages,sw_percentages,operating_pressure,pressure_head,conversion_factor_el,conversion_factor_diesel,unit_conversion_factor
fips16007,0.57,0.0,0.43,7.437284543379055,0.0118725425104033,0.9881274574895966,1.8862999999999999,8.162025013665717,0.0278,0.0741,kWh/m3
fips16011,0.9,0.0,0.1,7.437284543379055,0.5432656786474857,0.4567343213525142,2.741,63.39972130403706,0.2159,0.5758,kWh/m3
fips16013,0.62,0.0,0.38,7.437284543379055,0.3904357111877046,0.6095642888122955,2.0158,44.65669507249439,0.1521,0.4056,kWh/m3
fips16019,0.85,0.0,0.15,7.437284543379055,0.2839166874872237,0.7160833125127762,2.6115,36.116387572161,0.123,0.328,kWh/m3
fips16021,0.37,0.0,0.63,7.437284543379055,0.4112701663903496,0.5887298336096504,1.3682999999999998,43.94978817859117,0.1497,0.3992,kWh/m3
fips16023,0.71,0.0,0.29,7.437284543379055,0.563035077649618,0.4369649223503819,2.2489,62.626520555657045,0.2133,0.5688,kWh/m3
fips16025,0.6,0.0,0.4,7.437284543379055,0.6408345026463877,0.3591654973536122,1.9639999999999997,68.44717130064718,0.2331,0.6217,kWh/m3
fips16027,0.34,0.01,0.65,7.437284543379055,0.2621503297416843,0.7378496702583158,1.2965,30.37272678837558,0.1034,0.2759,kWh/m3
fips16029,0.69,0.0,0.31,7.437284543379055,0.1847158243395836,0.8152841756604163,2.1971,25.174549265390464,0.0857,0.2287,kWh/m3
fips16031,0.76,0.0,0.24,7.437284543379055,0.6312188464093598,0.3687811535906402,2.3784,70.1921006543314,0.2391,0.6375,kWh/m3
fips16033,0.66,0.0,0.34,7.437284543379055,0.4008666110884545,0.5991333889115454,2.1194,46.085175801689864,0.157,0.4186,kWh/m3
