node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total consumption (m3),total-check,diff
fips05043,71558.68161,87478.53725,786169.3292,3022985.612,6301590.003,10341584.35,10465990.38,5954525.117,1937436.03,682466.9853,183536.5082,72803.85065,39908125.39,39908125.39,-1.87E-16
fips05045,2690.807478,3351.207198,97853.1188,364214.4443,738602.1677,1091857.243,1005198.01,406266.1497,131135.4759,36012.73645,7691.292459,2683.463102,3887556.116,3887556.116,-1.20E-16
fips05047,42.13800746,7.831676033,207.2045991,619.7655716,725.7052764,1102.536559,1687.89582,1432.749983,603.1413938,348.6061665,71.31839949,22.54175207,6871.435204,6871.435204,1.32E-16
fips05049,13058.27926,8861.862549,52880.4701,407.4209253,15198.32223,55492.62653,36980.56035,8.567618236,247.8840256,1799.287916,7744.675065,3282.988863,195962.9454,195962.9454,4.46E-16
fips05051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05055,160942.1535,173045.0167,1913979.011,21163191.39,39155280.53,95051490,74603846.51,51357850.77,6724120.434,1798624.373,446243.9244,154235.6602,292702849.8,292702849.8,0
fips05057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05059,4.194960717,0.668707392,39975.98209,113073.8744,216642.052,396688.9846,392203.0549,242807.6063,49958.1133,5261.428496,112.8720236,15.43140408,1456744.263,1456744.263,0
fips05061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05063,55791.38699,55679.45471,1261430.192,5032652.846,10411248.93,22538233.6,20211369.9,13729906.51,2873673.455,605708.7343,150967.7541,57433.82648,76984096.6,76984096.6,0
fips05065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05067,151317.0144,95972.94305,10083935.52,37774763.52,78915962.79,156063242.5,119004361.2,70213330.17,9055608.353,2128967.273,607603.8467,193180.8013,484288245.9,484288245.9,0
fips05069,330633.2911,398462.4302,6037072.097,22193413.42,48616707.91,79415761.01,73400675.19,42253222.35,11350134.34,3162573.039,846211.2609,308387.0246,288313253.4,288313253.4,2.07E-16
fips05071,1033.677969,572.2911208,1405.270197,11.62255985,459.1458519,2516.174135,1683.703113,4.243210257,11.16039468,31.0080616,198.2859928,238.5401201,8165.122726,8165.122726,-1.11E-16
fips05073,2522579.339,1387445.542,1304790.573,20041.15168,415770.4051,2705551.774,3013615.28,17721.96489,18213.77948,43133.6039,161246.8425,356911.3486,11967021.6,11967021.6,1.56E-16
fips05075,58884.26231,42217.34589,1674641.572,15075476.76,27950103.39,67954141.01,53235677.72,33397579.98,5131922.194,914450.3601,192761.8931,65857.81085,205693714.3,205693714.3,1.45E-16
fips05077,339405.9196,377067.7917,7950101.718,22947639.82,46598969.21,81068695.49,66711739.8,40201161.01,10932907.87,3311604.704,814405.9341,354216.0927,281607915.4,281607915.4,0
fips05079,35049583.63,16119855.07,31414371.5,239245.791,8633987.332,54859525.17,58161104.47,285640.4166,236951.5993,621732.9179,2395809.664,4403375.529,212421183.1,212421183.1,1.40E-16
fips05081,46775.4759,31807.78046,550098.2351,1697695.227,3131030.457,4735004.012,7106936.053,4734270.944,1597182.142,445247.3402,106682.9505,49504.30114,24232234.92,24232234.92,0
fips05083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05085,413514.5622,421296.311,16041302.1,54019013.39,119563365.8,195838921.6,173927379.4,103095528,25637401.51,5163085.025,1027978.367,373204.7941,695521990.9,695521990.9,-1.71E-16
fips05087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05091,304.8683071,284.8864863,5496.239873,23159.26383,42220.68093,47253.70526,37193.88751,14815.25221,4213.189535,1916.236628,661.0910528,279.0842763,177798.3859,177798.3859,-1.64E-16
fips05093,52721.51904,65763.78173,837259.4926,2591611.318,4815514.941,9476469.209,7863624.853,4928596.596,1340985.716,448781.7504,119264.9855,46133.44589,32586727.61,32586727.61,0
fips05095,141726.2042,163223.6143,5893787.658,18362189.94,41272635.77,71865839.92,63597328.57,40207804.76,6712358.939,1493558.259,357829.9364,131036.6293,250199320.2,250199320.2,1.19E-16
fips05097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05105,174168.3166,79633.09266,137839.9482,824.0996797,29133.06866,261076.9314,283834.5006,948.0911684,759.2766771,2037.681564,8704.611586,24269.92095,1003229.54,1003229.54,-3.48E-16
fips05107,36950115.25,17536912.28,34776511.13,234541.7623,9040468.007,58312304.09,64134589.97,279076.7528,237620.0375,641512.6433,2692632.106,5574446.626,230410730.7,230410730.7,-1.29E-16
fips05109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05111,122637545.4,62264844.58,119327840.7,733181.5012,23684660.99,191710640.1,237931839.6,836438.003,690616.4882,1841665.604,7010065.574,18635662.2,787305000.7,787305000.7,0
fips05113,0.058319001,0.007348996,4130.698273,15342.92743,27594.4867,54632.54072,77696.04664,52604.62602,12631.12638,2736.280538,2.5724048,0.296563079,247371.6673,247371.6673,-5.88E-16
fips05115,73573.74139,33776.13093,48788.18324,2718.289591,12837.33666,108505.1945,113726.3252,1709.210543,837.6952214,1186.62882,4477.076494,12504.06661,414639.8792,414639.8792,0
fips05117,72764947.45,32345613.41,58946764.75,212790.2437,11636324.67,105060454.7,122103856.2,212532.1462,204552.7553,563867.8707,2562535.898,9142769.21,415757009.3,415757009.3,1.43E-16
fips05119,33380.13436,36122.61473,1049636.43,3092108.778,6819516.796,11952804.94,11195419,6454432.337,1215225.135,336756.8301,85059.17989,31057.68309,42301519.86,42301519.86,0
fips05121,19564930.02,10627014.95,25406652.19,133179.8921,4662654.179,36029293.21,44699529.37,157266.3431,121382.7396,319604.7663,1262435.233,1058214.689,144042157.6,144042157.6,4.14E-16
fips05123,53527164.53,25037602.1,44078205.87,201431.2202,7781783.204,75875330.59,93656587.52,213731.0606,198740.842,532427.0511,2195959.605,7821854.498,311120818.1,311120818.1,0
fips05125,1996.402718,2440.190305,34037.43302,152478.9489,346066.4251,444288.3268,368519.3334,139888.0286,35958.95509,14410.98345,4272.618859,1715.274586,1546072.921,1546072.921,1.51E-16
fips05127,2.124962878,0.642094108,1291.984661,4605.511171,7998.506768,11975.58442,15536.65799,6928.117997,2065.493078,591.578926,29.47951673,6.335452881,51032.01704,51032.01704,-1.43E-16
fips05129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05131,308.3925002,327.2080239,6148.358543,10602.68685,21843.04296,39530.6143,66959.02888,41979.26328,13462.05059,4097.037518,618.4539062,266.9187716,206143.0561,206143.0561,1.41E-16
fips05133,693.9141396,289.7213076,840.9030726,365.844265,303.9611238,1763.205378,1561.610084,199.3931302,75.91284922,75.09997794,97.96673747,603.9031382,6871.435204,6871.435204,-2.65E-16
fips05135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
