Date,Week,Month,Year,Region,Diesel Price
08/26/2013,34,8,2013,Midwest,3.884
08/26/2013,34,8,2013,Gulf Coast,3.829
08/26/2013,34,8,2013,Rocky Mountains,3.927
08/26/2013,34,8,2013,West Coast,4.072
08/26/2013,34,8,2013,California,4.156
08/26/2013,34,8,2013,West Coast exc California,3.973
09/02/2013,35,8,2013,US,3.981
09/02/2013,35,8,2013,East Coast,3.993
09/02/2013,35,8,2013,New England,4.087
09/02/2013,35,8,2013,Central Atlantic,4.055
09/02/2013,35,8,2013,Lower Atlantic,3.930
09/02/2013,35,8,2013,Midwest,3.967
09/02/2013,35,8,2013,Gulf Coast,3.897
09/02/2013,35,8,2013,Rocky Mountains,3.937
09/02/2013,35,8,2013,West Coast,4.128
09/02/2013,35,8,2013,California,4.210
09/02/2013,35,8,2013,West Coast exc California,4.032
09/09/2013,36,9,2013,US,3.981
09/09/2013,36,9,2013,East Coast,3.988
09/09/2013,36,9,2013,New England,4.091
09/09/2013,36,9,2013,Central Atlantic,4.056
09/09/2013,36,9,2013,Lower Atlantic,3.917
09/09/2013,36,9,2013,Midwest,3.964
09/09/2013,36,9,2013,Gulf Coast,3.898
09/09/2013,36,9,2013,Rocky Mountains,3.934
09/09/2013,36,9,2013,West Coast,4.142
09/09/2013,36,9,2013,California,4.225
09/09/2013,36,9,2013,West Coast exc California,4.045
09/16/2013,37,9,2013,US,3.974
09/16/2013,37,9,2013,East Coast,3.979
09/16/2013,37,9,2013,New England,4.088
09/16/2013,37,9,2013,Central Atlantic,4.044
09/16/2013,37,9,2013,Lower Atlantic,3.910
09/16/2013,37,9,2013,Midwest,3.957
09/16/2013,37,9,2013,Gulf Coast,3.889
09/16/2013,37,9,2013,Rocky Mountains,3.941
09/16/2013,37,9,2013,West Coast,4.138
09/16/2013,37,9,2013,California,4.228
09/16/2013,37,9,2013,West Coast exc California,4.032
09/23/2013,38,9,2013,US,3.949
09/23/2013,38,9,2013,East Coast,3.956
09/23/2013,38,9,2013,New England,4.071
09/23/2013,38,9,2013,Central Atlantic,4.015
09/23/2013,38,9,2013,Lower Atlantic,3.890
09/23/2013,38,9,2013,Midwest,3.929
09/23/2013,38,9,2013,Gulf Coast,3.862
09/23/2013,38,9,2013,Rocky Mountains,3.943
09/23/2013,38,9,2013,West Coast,4.111
09/23/2013,38,9,2013,California,4.209
09/23/2013,38,9,2013,West Coast exc California,3.995
09/30/2013,39,9,2013,US,3.919
09/30/2013,39,9,2013,East Coast,3.931
09/30/2013,39,9,2013,New England,4.046
09/30/2013,39,9,2013,Central Atlantic,3.997
09/30/2013,39,9,2013,Lower Atlantic,3.861
09/30/2013,39,9,2013,Midwest,3.894
09/30/2013,39,9,2013,Gulf Coast,3.831
09/30/2013,39,9,2013,Rocky Mountains,3.927
09/30/2013,39,9,2013,West Coast,4.075
09/30/2013,39,9,2013,California,4.172
09/30/2013,39,9,2013,West Coast exc California,3.961
10/07/2013,40,10,2013,US,3.897
10/07/2013,40,10,2013,East Coast,3.908
10/07/2013,40,10,2013,New England,4.040
10/07/2013,40,10,2013,Central Atlantic,3.967
10/07/2013,40,10,2013,Lower Atlantic,3.838
10/07/2013,40,10,2013,Midwest,3.876
10/07/2013,40,10,2013,Gulf Coast,3.805
10/07/2013,40,10,2013,Rocky Mountains,3.915
10/07/2013,40,10,2013,West Coast,4.052
10/07/2013,40,10,2013,California,4.150
10/07/2013,40,10,2013,West Coast exc California,3.936
10/14/2013,41,10,2013,US,3.886
10/14/2013,41,10,2013,East Coast,3.904
10/14/2013,41,10,2013,New England,4.032
10/14/2013,41,10,2013,Central Atlantic,3.963
10/14/2013,41,10,2013,Lower Atlantic,3.837
10/14/2013,41,10,2013,Midwest,3.854
10/14/2013,41,10,2013,Gulf Coast,3.797
10/14/2013,41,10,2013,Rocky Mountains,3.889
10/14/2013,41,10,2013,West Coast,4.047
10/14/2013,41,10,2013,California,4.139
10/14/2013,41,10,2013,West Coast exc California,3.939
10/21/2013,42,10,2013,US,3.886
10/21/2013,42,10,2013,East Coast,3.905
